"ans_codes_id","ans_id","codes_id","code","number"
"1","1","0","VEN","1"
"2","1","0","MER","1"
"3","2","0","VEN","1"
"4","2","0","MER","1"
"5","3","0","MA","1"
"6","3","0","JO","0"
"7","4","0","MA","1"
"8","4","0","JO","0"
"9","4","0","SO","1"
"10","5","0","MA","1"
"11","6","0","VEN","1"
"12","6","0","MER","1"
"13","7","0","MA","1"
"14","7","0","JO","0"
"15","8","0","VEN","1"
"16","8","0","MER","1"
"17","9","0","MA","1"
"18","9","0","JO","0"
"19","10","0","VEN","1"
"20","10","0","MER","1"
"21","11","0","MA","1"
"22","11","0","JO","0"
"23","12","0","MER","1"
"24","13","0",,"0"
"25","14","0","LU","1"
"26","15","0","SO","1"
"27","16","0",,"0"
"28","17","0","JO","1"
"29","17","0","LU","0"
"30","17","0","VEN","0"
"31","18","0","MA","0"
"32","19","0",,"0"
"33","20","0","MER","1"
"34","21","0","MER","1"
"35","21","0","SO","1"
"36","22","0","JO","1"
"37","23","0","MA","1"
"38","23","0","MER","1"
"39","24","0","JO","2"
"40","24","0","VEN","1"
"41","25","0","SA","2"
"42","25","0","LU","1"
"43","26","0",,"0"
"44","27","0","SA","2"
"45","27","0","LU","1"
"46","28","0",,"0"
"47","29","0","SA","1"
"48","29","0","LU","1"
"49","30","0",,"0"
"50","31","0","JO","3"
"51","31","0","LU","0"
"52","32","0",,"0"
"53","33","0","JO","2"
"54","34","0","VEN","2"
"55","35","0",,"0"
"56","37","0","JO","1"
"57","38","0",,"0"
"58","39","0",,"0"
"59","40","0","VEN","2"
"60","41","0",,"0"
"61","42","0","VEN","3"
"62","43","0",,"0"
"63","44","0","SA","1"
"64","44","0","JO","1"
"65","44","0","VEN","0"
"66","44","0","SO","1"
"67","45","0","SA","1"
"68","45","0","JO","1"
"69","45","0","VEN","0"
"70","45","0","SO","1"
"71","46","0",,"0"
"72","47","0",,"0"
"73","48","0","MA","1"
"74","48","0","LU","1"
"75","48","0","MER","1"
"76","49","0","MA","1"
"77","49","0","LU","1"
"78","49","0","MER","1"
"79","50","0","MA","1"
"80","50","0","LU","1"
"81","50","0","MER","1"
"82","51","0","MA","1"
"83","51","0","LU","1"
"84","51","0","MER","1"
"85","52","0","MA","1"
"86","52","0","MER","1"
"87","53","0",,"0"
"88","54","0","MA","1"
"89","54","0","MER","1"
"90","55","0","LU","2"
"91","56","0","MA","2"
"92","56","0","JO","0"
"93","57","0","VEN","1"
"94","57","0","MER","1"
"95","58","0","SO","1"
"96","59","0",,"0"
"97","60","0","SO","1"
"98","61","0","SO","1"
"99","62","0",,"0"
"100","63","0","SO","1"
"101","64","0","SA","1"
"102","64","0","JO","1"
"103","64","0","VEN","1"
"104","64","0","SO","1"
"105","65","0",,"0"
"106","66","0","SA","1"
"107","66","0","JO","1"
"108","66","0","VEN","1"
"109","66","0","SO","1"
"110","67","0","SA","0"
"111","67","0","MA","1"
"112","67","0","MER","1"
"113","67","0","SO","0"
"114","68","0",,"0"
"115","69","0","LU","2"
"116","70","0",,"0"
"117","71","0",,"0"
"118","72","0","SO","1"
"119","73","0",,"0"
"120","74","0","SA","1"
"121","75","0","LU","1"
"122","76","0","JO","0"
"123","76","0","LU","0"
"124","77","0","LU","1"
"125","78","0","SO","1"
"126","79","0",,"0"
"127","80","0","MA","1"
"128","80","0","MER","1"
"129","81","0",,"0"
"130","82","0","MA","1"
"131","82","0","MER","1"
"132","83","0","SA","1"
"133","84","0","MA","1"
"134","85","0",,"0"
"135","86","0","VEN","1"
"136","87","0","SO","1"
"137","88","0","LU","1"
"138","89","0","SA","2"
"139","90","0",,"0"
"140","91","0",,"0"
"141","92","0","SA","1"
"142","93","0",,"0"
"143","94","0","VEN","1"
"144","95","0",,"0"
"145","96","0","VEN","1"
"146","97","0","JO","0"
"147","98","0",,"0"
"148","99","0","JO","0"
"149","100","0","JO","1"
"150","101","0",,"0"
"151","102","0","JO","2"
"152","103","0",,"0"
"153","104","0","FE","1"
"154","105","0",,"0"
"155","106","0","FE","1"
"156","107","0","VAN","1"
"157","108","0",,"0"
"158","109","0","DOM","1"
"159","110","0",,"0"
"160","111","0",,"0"
"161","112","0","SP","1"
"162","113","0",,"0"
"163","114","0","WIL","1"
"164","115","0",,"0"
"165","116","0","WIL","1"
"166","117","0","DE","1"
"167","118","0",,"0"
"168","119","0","DE","1"
"169","120","0","NAI","1"
"170","121","0",,"0"
"171","122","0","NAI","1"
"172","123","0","NE","1"
"173","124","0",,"0"
"174","125","0","NE","1"
"175","126","0","LUN","1"
"176","127","0",,"0"
"177","128","0","LUN","1"
"178","129","0","GRE","0"
"179","130","0","GRE","1"
"180","131","0","GRE","1"
"181","132","0",,"0"
"182","133","0","GRE","1"
"183","134","0","VAN","1"
"184","135","0",,"0"
"185","136","0","VAN","0"
"186","137","0","TRA","1"
"187","138","0",,"0"
"188","139","0","TRA","1"
"189","140","0","TRA","1"
"190","141","0",,"0"
"191","142","0","TRA","1"
"192","143","0","WIL","1"
"193","144","0",,"0"
"194","145","0","DE","1"
"195","146","0",,"0"
"196","147","0","DE","1"
"197","148","0",,"0"
"198","149","0","SP","1"
"199","150","0",,"0"
"200","151","0","SP","1"
"201","152","0","FE","1"
"202","153","0",,"0"
"203","154","0","NE","1"
"204","155","0",,"0"
"205","156","0","NAI","1"
"206","157","0",,"0"
"207","158","0","LUN","1"
"208","159","0",,"0"
"209","160","0","LUN","1"
"210","161","0","DOM","1"
"211","162","0",,"0"
"212","163","0","POW","1"
"213","164","0",,"0"
"214","165","0","POW","1"
"215","166","0","VAN","1"
"216","167","0",,"0"
"217","168","0","VAN","1"
"218","169","0","GRE","1"
"219","170","0",,"0"
"220","171","0","GRE","1"
"221","172","0","TRA","1"
"222","173","0",,"0"
"223","174","0","WIL","1"
"224","175","0",,"0"
"225","176","0","WIL","1"
"226","177","0","SP","1"
"227","178","0",,"0"
"228","179","0","SP","1"
"229","180","0","FE","1"
"230","181","0",,"0"
"231","182","0","FE","1"
"232","183","0","NE","0"
"233","184","0","NE","1"
"234","185","0","NAI","1"
"235","186","0",,"0"
"236","187","0","NAI","1"
"237","188","0","LUN","1"
"238","189","0",,"0"
"239","190","0","DE","1"
"240","191","0",,"0"
"241","192","0","DE","1"
"242","193","0","VAN","1"
"243","194","0",,"0"
"244","195","0","VAN","0"
"245","196","0","GRE","1"
"246","197","0",,"0"
"247","198","0","NAI","1"
"248","199","0",,"0"
"249","200","0","NAI","1"
"250","201","0","SP","1"
"251","202","0",,"0"
"252","203","0","SP","1"
"253","204","0","FE","0"
"254","205","0","FE","1"
"255","206","0","NE","0"
"256","207","0","NE","1"
"257","208","0",,"0"
"258","209","0","LUN","1"
"259","210","0",,"0"
"260","211","0","LU","1"
"261","212","0","POW","1"
"262","213","0",,"0"
"263","214","0","POW","1"
"264","215","0","WIL","1"
"265","216","0",,"0"
"266","217","0","WIL","1"
"267","218","0","DOM","1"
"268","219","0",,"0"
"269","220","0","DOM","1"
"270","221","0","POW","1"
"271","222","0",,"0"
"272","223","0","TRA","0"
"273","224","0","TRA","1"
"274","225","0",,"0"
"275","226","0","DOM","1"
"276","227","0","POW","1"
"277","228","0",,"0"
"278","229","0",,"0"
"279","230","0","G","1"
"280","231","0","S","1"
"281","232","0","C","1"
"282","233","0","S","1"
"283","234","0","G","1"
"284","235","0","C","1"
"285","236","0","G","1"
"286","237","0","S","1"
"287","238","0","C","1"
"288","239","0","C","1"
"289","240","0","S","1"
"290","241","0","G","1"
"291","242","0","G","1"
"292","243","0","S","1"
"293","244","0","C","1"
"294","245","0","G","1"
"295","246","0","S","1"
"296","247","0","C","1"
"297","248","0","G","1"
"298","249","0","S","1"
"299","250","0","C","1"
"300","251","0","INT","1"
"301","252","0","MOV","1"
"302","253","0","INS","1"
"303","254","0","EM","1"
"304","255","0","INT","1"
"305","256","0","INS","1"
"306","257","0","EM","1"
"307","258","0","MOV","1"
"308","259","0","INS","1"
"309","260","0","INT","1"
"310","261","0","MOV","1"
"311","262","0","EM","1"
"312","263","0","INS","1"
"313","264","0","EM","1"
"314","265","0","INT","1"
"315","266","0","MOV","1"
